"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T"
19,"SC",193444,"SC","100 N CRESCENT LLC","100 N CRESCENT DR","BEVERLY HILLS","90210",9999,"LA","SOUTH COAST AQMD","","",.002137821241755742551739822606322492608597,.00188,.0051,.02,.0000105,.00168,.00166992
19,"SC",140124,"SC","1000 OCEAN HOMEOWNERS ASSOCIATION","1000  OCEAN BLVD","LONG BEACH","90802",6531,"LA","SOUTH COAST AQMD","","",.00002820104616784171025699340459404139185809,.0000248,.0000673,.00031,.000000139,.0000221,.0000219674
19,"SC",116061,"SC","1000 WEST 6TH ST. PARTNERS LLC/LA SELF S","1000 W 6TH ST","LOS ANGELES","90017",4225,"LA","SOUTH COAST AQMD","","",.002133272685922219695246759153968614964748,.001876,.0051,.02,.0000105,.001676,.001665944
19,"SC",136377,"SC","1010 SENIOR HOUSING CORP, VILLA FLORES","1020 S FLOWER ST","LOS ANGELES","90015",6513,"LA","SOUTH COAST AQMD","","",.0007994086877416420286559017511939959063,.000703,.00191,.00879,.00000394,.000628,.000624232
19,"SC",154593,"SC","1055 SEVENTH LLC","1055 W 7TH ST STE 2280","LOS ANGELES","90017",8661,"LA","SOUTH COAST AQMD","","",.0121105299067546054127814418921992267456,.01065,.02856,.12,.00005961,.00951,.00945294
36,"SC",189895,"SC","10825 PRODUCTION OWNER LLC","10825  PRODUCTION AVE","FONTANA","92335",9999,"SBD","SOUTH COAST AQMD","","",.0113713895838071412326586308846941096202,.01,.03,.15,.0000698,.01,.00994
36,"SC",190606,"SC","10829 ETIWANDA AVENUE INVESTORS, LLC","13100  LOOP RD","FONTANA","92337",5113,"SBD","SOUTH COAST AQMD","","",.003414828292017284512167386854673641118945,.003003,.00816,.03704,.00001685,.002683,.002666902
19,"SC",179242,"SC","10900 WILSHIRE, LLC","10900  WILSHIRE BLVD","LOS ANGELES","90024",6531,"LA","SOUTH COAST AQMD","","",.001066636342961109847623379576984307482374,.000938,.00255,.01,.00000525,.000838,.000832972
19,"SC",194527,"SC","1180 LABREA LLC","1180 S LA BREA AVE","LOS ANGELES","90019",6799,"LA","SOUTH COAST AQMD","","",0,0,0,0,0,0,0
19,"SC",132838,"SC","1221 OCEAN AVE LUXURY APARTMENTS","1221  OCEAN AVE","SANTA MONICA","90401",6513,"LA","SOUTH COAST AQMD","","",.0113713895838071412326586308846941096202,.01,.03,.17,.0000794,.01,.00994
30,"SC",189702,"SC","1500 QUAIL PROPERTY, LLC","1500  QUAIL ST","NEWPORT BEACH","92660",6512,"ORA","SOUTH COAST AQMD","","",.00008528542187855355924493973163520582215147,.000075,.000204,.000938,.00000042,.000067,.000066598
19,"SC",191613,"SC","15000 AVIATION VENTURES, LLC","15000  AVIATION BLVD","LAWNDALE","90261",5411,"LA","SOUTH COAST AQMD","","",.003090031943267103603696735377426757913453,.002259,.01192,.02835,.0000602,.002245,.00223534
30,"SC",122686,"SC","17665 NEW HOPE MFG, LLC","17665  NEW HOPE ST","FOUNTAIN VALLEY","92708",3999,"ORA","SOUTH COAST AQMD","","",.001944507618831021150784625881282692745053,.00171,.00466,.02,.00000959,.00153,.00152082
19,"SC",186651,"SC","177 COLORADO OWNER LLC, ROCKHILL MGMT LL","177 E COLORADO BLVD","PASADENA","91105",8641,"LA","SOUTH COAST AQMD","","",.000721785759181797332089677561129615608647,.000655,.00102,.00469,.0000021,.000335,.00033299
30,"SC",202095,"SC","17836 GILLETTE AVENUE LLC","17836  GILLETTE AVE","IRVINE","92614",7374,"ORA","SOUTH COAST AQMD","","",.2640863088469410962019558790084148282918,.2322375,.631686,2.904517,.00130053,.2074655,.206220707
19,"SC",190908,"SC","180 EAST OCEAN, LLC","180 E OCEAN BLVD","LONG BEACH","90802",7011,"LA","SOUTH COAST AQMD","","",.0159239925982591436309880703785638968718,.007822,.09444,.12985,.00068414,.010008,.009999252
19,"SC",101991,"SC","1875/1925 CENTURY PARK EAST CO","1875  CENTURY PARK E","LOS ANGELES","90067",6512,"LA","SOUTH COAST AQMD","","",.009586081419149420059131225835797134409825,.00843,.02295,.09,.0000474,.00753,.00748482
19,"SC",132684,"SC","1900 AVENUE OF THE STARS","1900  AVE OF THE STARS","LOS ANGELES","90067",6799,"LA","SOUTH COAST AQMD","","",.0152717762110529906754605412781441892199,.01343,.03934,.2,.0000945,.01307,.01299158
19,"SC",180760,"SC","199 PASADENA PARTNERS, LLC","199 S LOS ROBLES AVE","PASADENA","91101",9999,"LA","SOUTH COAST AQMD","","",.000959745280873322720036388446668182851945,.000844,.0023,.01,.00000473,.000754,.000749476
19,"SC",74406,"SC","1999 STARS LLC","1999  AVENUE OF THE STARS","LOS ANGELES","90067",9999,"LA","SOUTH COAST AQMD","","",.0159768134411984005204929713297040847759,.0140500105,.03825,.15,.000079,.01255,.0124747
30,"SC",186480,"SC","200 CENTER ALTON. LLC","200 W CENTER STREET PROMENADE","ANAHEIM","92805",9999,"ORA","SOUTH COAST AQMD","","",.00029793040709574710029565612917898567205,.000262,.000714,.00328,.00000147,.000234,.000232596
19,"SC",188931,"SC","2231 S. WESTERN (LA) LLC","2231 S WESTERN AVE","LOS ANGELES","90018",6512,"LA","SOUTH COAST AQMD","","",.22,.22,,,,,
19,"SC",184814,"SC","225 COLORADO, LLC","225 E COLORADO BLVD","PASADENA","91101",9999,"LA","SOUTH COAST AQMD","","",.000426427109392767796224698658176029110757,.000375,.00102,.00469,.0000021,.000335,.00033299
19,"SC",196810,"SC","2340 NORTH HOLLYWOOD WAY LLC","2340  HOLLYWOOD WAY","BURBANK","91505",1541,"LA","SOUTH COAST AQMD","","",.002660905162610871048442119627018421651126,.00234,.00638,.02,.0000131,.00209,.00207746
19,"SC",183712,"SC","257 CANON DRIVE CANON LUXURY BUILDINGS","257  CANON DR","BEVERLY HILLS","90210",8742,"LA","SOUTH COAST AQMD","","",.001262224243802592676825108028201046167842,.00111,.00302,.01,.00000621,.000991,.000985054
