App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01049,SPC and NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01050,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01050,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01051,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01051,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01052,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01052,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01053,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01053,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-06162,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-06162,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-06618,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-06618,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-06622,2030 Compliant Building,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Adventist Health Delano,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Adventist Health Delano,Adventist Health Delano
